,source,claim,verdict,qoute,date,scrape_date
0,Bob McDonnell,"""We expanded charter"" schools.",half-true,Underwhelming growth,2014-01-13,2019-04-23 16:47:02.701176
0,Mark Obenshain,"""Of the four statewide races this century within a 300-vote margin, three have been overturned in a recount.""",true,But not predictive of Virginia's recount,2013-12-17,2019-04-23 16:47:02.702735
0,Ken Cuccinelli,"Mark Warner cast ""the tiebreaking vote"" to pass Obamacare.",barely-true,"59 others also cast ""the tiebreaking vote""",2013-11-25,2019-04-23 16:47:02.704379
0,Ken Cuccinelli,"Terry McAuliffe ""wants to raise your taxes $1,700 to pay for his infinite promises.""",false,A stew of questionable assumptions ,2013-11-01,2019-04-23 16:47:02.706134
0,Terry McAuliffe,"Ken Cuccinelli would ""take money away from public schools to fund private schools.""",barely-true,Greatly exaggerated claim,2013-11-01,2019-04-23 16:47:02.707718
0,Next Generation Climate Action Committee,"Says Ken Cuccinelli wants ""to eliminate all forms of birth control.""",pants-fire,Explosive charge is a dud,2013-10-27,2019-04-23 16:47:02.709276
0,Mark Obenshain,"""Mark Herring voted to allow sex offenders, including rapists, to serve shorter sentences.""",barely-true,Herring voted against changing sentencing procedures,2013-10-21,2019-04-23 16:47:02.710838
0,Ken Cuccinelli,"Since Obamacare became law, ""most of our new jobs have been part-time jobs.""",false,Criticism would have been better focused on this year,2013-10-18,2019-04-23 16:47:02.712485
0,Bob McDonnell,"""It’s been 4 and a half years since the United States Senate passed a budget.""",false,Except for the budget passed this year,2013-10-14,2019-04-23 16:47:02.714071
0,Ken Cuccinelli,"Terry McAuliffe has ""threatened to shut down Virginia’s government if his budget plan isn’t supported.""",false,Constitutional problem with claim,2013-10-11,2019-04-23 16:47:02.715637
0,Ken Cuccinelli,"Virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.""",mostly-true,Foiled by Pennsylvania,2013-10-07,2019-04-23 16:47:02.887126
0,Jim Moran,"The growth in health care costs ""has been reined in through the Affordable Care Act.""",barely-true,Exaggeration ,2013-10-04,2019-04-23 16:47:02.888939
0,Terry McAuliffe,"Ken Cuccinelli ""tried to shut down"" state government.",pants-fire,Manufactured crisis,2013-10-02,2019-04-23 16:47:02.890556
0,Terry McAuliffe,"Under Cuccinelli’s tax cut plan, ""school divisions across Virginia could be forced to fire over 8,000 teachers.""",false,Distorts Cuccinelli's plan,2013-09-27,2019-04-23 16:47:02.892158
0,Terry McAuliffe,Says Ken Cuccinelli tried to make it more difficult for mothers to obtain divorces.,half-true,UPDATED: Divorce bill would have equally affected dads,2013-09-26,2019-04-23 16:47:02.893753
0,Ken Cuccinelli,"""Terry McAuliffe cashed in, walking away with millions"" from the demise of Global Crossing.",false,McAuliffe sold stock three years before company's failure ,2013-09-23,2019-04-23 16:47:02.895359
0,Terry McAuliffe,"""Cuccinelli wants to make all abortion illegal, even in cases of rape and incest, even to protect a woman’s health.""",barely-true,Cuccinelli backs abortion to save a mother's life,2013-09-19,2019-04-23 16:47:02.896952
0,Ken Cuccinelli,"""I’ve never supported legislation that invades people’s choices about contraception.""",half-true,But has backed bills that open legal challenges to the pill,2013-09-16,2019-04-23 16:47:02.898551
0,Mayors Against Illegal Guns,"""Rep. Frank Wolf voted to allow terror suspects to buy guns.""",half-true,Omits part of the story,2013-09-06,2019-04-23 16:47:02.900241
0,Ken Cuccinelli,"""There’s only one candidate under investigation -- Terry McAuliffe.""",false,Big accusation lacks proof,2013-09-03,2019-04-23 16:47:02.901958
0,Terry McAuliffe,Says Ken Cuccinelli supported a law that could allow people to carry missile launchers into airports.,barely-true,His claim is a dud,2013-09-03,2019-04-23 16:47:02.903587
0,Ken Cuccinelli,"Says Terry McAuliffe is ""the person who invented the scheme to rent out the Lincoln Bedroom.""",false,Clinton's idea; McAuliffe helped carry it out,2013-08-26,2019-04-23 16:47:02.905186
0,Eric Cantor,"Under Obamacare, ""The IRS will have access to the American people’s protected health care information.""",pants-fire,Selling snake oil,2013-08-19,2019-04-23 16:47:02.906888
0,Ken Cuccinelli,Says Virginia saved $300 million by rebidding a Metrorail construction project to exclude guaranteed union contracts.,half-true,Contract was never rebid,2013-08-12,2019-04-23 16:47:02.908620
0,Ken Cuccinelli,"""Every (personhood) bill I’ve ever support has either had language that says we’re conforming to the constitutional rulings of the Supreme Court or something to that effect.""",false,Not always,2013-08-10,2019-04-23 16:47:02.910228
0,Terry McAuliffe,A judge took the Star Scientific tax case away from Ken Cuccinelli,barely-true,Because Cuccinelli asked,2013-08-05,2019-04-23 16:47:02.911820
0,Democratic Party of Virginia,"""In his book, (Ken) Cuccinelli questions whether Medicare and Social Security should exist.""",barely-true,Skipping chapters,2013-07-22,2019-04-23 16:47:02.913407
0,Terry McAuliffe,"Says an investigative report concluded Ken Cuccinelli ""should have been prosecuted"" for disclosure violations, but Virginia's law was too weak.",pants-fire,Pure fantasy,2013-07-20,2019-04-23 16:47:02.915084
0,Terry McAuliffe,"""Women still earn about 77 cents for every dollar a man earns for working the same job.""",barely-true,Botches data,2013-07-15,2019-04-23 16:47:02.916674
0,Dave Schwartz,"""Twenty-four percent of doctors in Virginia currently don’t accept new Medicaid patients because the reimbursement rates are so low.""",mostly-true,Generally accurate,2013-07-12,2019-04-23 16:47:02.918350
0,Ken Cuccinelli,"""I’m the only candidate for governor who’s rolled out any policies so far.""",false,What about Terry McAuliffe?,2013-07-10,2019-04-23 16:47:03.100525
0,Paul Begala,"Says Ken Cuccinelli ""attacked churches for helping the poor.""",false,Uncharitable distortion,2013-07-08,2019-04-23 16:47:03.102326
0,Ken Cuccinelli,"Says Terry McAuliffe ""opposes"" Virginia’s right-to-work law.",false,No credible proof,2013-07-03,2019-04-23 16:47:03.103867
0,E.W. Jackson,"""In 1960, most black children were raised in two-parent, monogamous families."" Today ""we have only 20 percent of black children being raised in two-parent, monogamous families...""",mostly-true,Slightly overstates decline ,2013-07-01,2019-04-23 16:47:03.105426
0,Mark Herring,On gay marriage,full-flop,Backs same-sex marriage now ,2013-06-24,2019-04-23 16:47:03.106989
0,Terry McAuliffe,"The state GOP ticket ""says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.""",false,GOP ticket never said that,2013-06-21,2019-04-23 16:47:03.108795
0,Morgan Griffith,"""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.""",barely-true,Distorts study,2013-06-17,2019-04-23 16:47:03.110477
0,Terry McAuliffe,On the coal industry,full-flop,Now a friend of coal,2013-06-14,2019-04-23 16:47:03.112157
0,Stephen Martin,Says Democratic Party created Planned Parenthood,false,Claim leads to apology,2013-06-10,2019-04-23 16:47:03.113717
0,Stephen Martin,Says Democratic Party created the Ku Klux Klan.,false,Martin regrets statement,2013-06-10,2019-04-23 16:47:03.115335
0,Ken Cuccinelli,On restoring voting rights to non-violent felons.,full-flop,"He's worried about ""felony creep""",2013-06-03,2019-04-23 16:47:03.117003
0,Terry McAuliffe,On oil drilling off Virginia's coast.,full-flop,Says technology has improved,2013-06-03,2019-04-23 16:47:03.118642
0,Terry McAuliffe,"""In our community college system (state) cuts have reduced funding per student by $1,908.""",mostly-true,"Close, but not quite that much",2013-05-28,2019-04-23 16:47:03.120243
0,Mark Warner,"Says 70,000 children ""have lost their Head Start slots"" because of the sequester.",barely-true,Assumes worst-case estimate has already occurred,2013-05-28,2019-04-23 16:47:03.121845
0,Terry McAuliffe,"""Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.""",false,Virginia teachers aren't that gray,2013-05-17,2019-04-23 16:47:03.123451
0,Ron Meyer,"""Only three in 10 young Americans under 30 -- 30 percent under 30 -- have full-time work.""",half-true,Misinterprets data,2013-05-13,2019-04-23 16:47:03.125047
0,Ken Cuccinelli,"""We have never gone a year in Virginia -- ever -- without passing a budget -- ever.""",false,Except in 2001,2013-05-06,2019-04-23 16:47:03.126836
0,Randy Forbes,"The U.S. Army had a training program that put ""evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida.""",barely-true,Sweeping claim about an isolated event,2013-05-03,2019-04-23 16:47:03.128454
0,Bob Goodlatte,"Federal prosecutions for lying on background checks to buy guns are ""down 40 percent"" under President Barack Obama.",half-true,"Sure, but Bush's numbers were already microscopic",2013-05-01,2019-04-23 16:47:03.130085
0,Susan B. Anthony List,"New Virginia regulations on abortion clinics ""provide the same sanitary environment we expect of dental offices.""",pants-fire,Downplays major changes for abortion clinics,2013-04-28,2019-04-23 16:47:03.131661
0,Randy Forbes,Says the U.S. fleet of attack submarines is scheduled to fall below the 48 boats that Navy says it needs to carry out current missions.,true,"In 2025, unless funding improves",2013-04-26,2019-04-23 16:47:03.313812
0,Dwight Jones,"Says under his utility rate plan, ""An estimated 50 percent of our residential households will see a decrease in their water and wastewater bills.""",mostly-true,Half will also see water bills rise,2013-04-22,2019-04-23 16:47:03.315721
0,Virginia Society for Human Life,"Under Obamacare, Virginia taxpayers would have been ""forced to pay for abortions"" if the General Assembly had not recently intervened.",false,"Policy holders, not government, would have paid for option",2013-04-15,2019-04-23 16:47:03.317470
0,NARAL Pro-Choice Virginia,"Abortion coverage is a standard insurance benefit ""in nearly 90 percent of private plans sold in the U.S.""",barely-true,"Old, disputed study",2013-04-15,2019-04-23 16:47:03.319125
0,Bobby Scott,"Paul Ryan’s budget ""keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.""",mostly-true,Budget is based on Obamacare taxes coming in ,2013-04-08,2019-04-23 16:47:03.320749
0,Pete Snyder,"""A study by the University of Virginia pulls back the curtain on Medicaid’s tragically bad outcomes, including ‘increased risk of adjusted mortality.’""",half-true,Overstates findings,2013-04-01,2019-04-23 16:47:03.322353
0,National Association for Gun Rights,"U.S. Rep. Scott Rigell ""wants gun owners in a federal registration system.""",pants-fire,No ammo ,2013-03-18,2019-04-23 16:47:03.323957
0,Jamie Radtke,"The transportation package passed by the General Assembly would impose the ""largest tax increase in Virginia’s history.""",half-true,Not when inflation is considered,2013-03-15,2019-04-23 16:47:03.325553
0,Eric Cantor,"""Over the last 20 years, the world has changed. It used to be that one could make a career out of working for one company. Today, the average worker stays at his or her job for barely four years.""",barely-true,Employment tenure has increased,2013-03-12,2019-04-23 16:47:03.327293
0,Bob McDonnell,On raising taxes.,full-flop,Different realities of campaigning and governing,2013-03-08,2019-04-23 16:47:03.328904
0,Ken Cuccinelli,"Virginia is ""the only state"" that has a tradition of attorneys general resigning if they run for governor.",true,A unique custom,2013-03-01,2019-04-23 16:47:03.330509
0,Eric Cantor,"""The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.""",pants-fire,Pure fantasy,2013-02-22,2019-04-23 16:47:03.332111
0,Eric Cantor,"""Collectively states are spending more on Medicaid than they do on K-12 education.""",true,But U.S. picks up most of the Medicaid tab for states,2013-02-19,2019-04-23 16:47:03.333711
0,Grover Norquist,"In Virginia ""there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.""",false,Wrong number ,2013-02-18,2019-04-23 16:47:03.335318
0,Richard Saslaw,"Except for Virginia, ""the other 49 states keep raising their gas tax.""",pants-fire,Fueless statement,2013-02-11,2019-04-23 16:47:03.336922
0,Bob McDonnell,"""The brutal fact is, when it comes to education, America is slipping"" behind other nations.",barely-true,Doesn't add up,2013-02-08,2019-04-23 16:47:03.338491
0,Richard Saslaw,"""One-third of the gasoline is purchased by out-of-state people"" in Virginia",false,No fuel for this claim,2013-02-05,2019-04-23 16:47:03.340053
0,Bob McDonnell,"Says his plan to raise car registration to $56 would still leave Virginia with a fee that’s ""equal to or lower than most states.""",pants-fire,Wrong and without basis,2013-02-01,2019-04-23 16:47:03.341606
0,Terry McAuliffe,"Says Virginia economic development officials ""decided they didn’t want to bid on"" his company's electric automobile plant.",false,Company didn't address state concerns,2013-01-24,2019-04-23 16:47:03.343201
0,David Toscano,"Virginia ""spends less per student today than we did in 2008.""",true,Numbers add up,2013-01-21,2019-04-23 16:47:03.344757
0,Bob McDonnell,"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""",true,All states have a gas excise tax,2013-01-10,2019-04-23 16:47:03.505230
0,Patrick Wales,"There is ""over 20 times more energy"" in a proposed Southside uranium mining site than ""there is in all the oil that’s estimated to be off Virginia’s coast""",true,A lode to ponder,2013-01-07,2019-04-23 16:47:03.507096
0,Jimmy Barrett,Says Virginia is the biggest state that does not have a major league sports team.,true,Nothing to cheer about,2012-12-26,2019-04-23 16:47:03.508681
0,Bob McDonnell,"""The average kid comes out of Virginia colleges with about $25,000-plus in debt.""",half-true,Omits key information,2012-12-24,2019-04-23 16:47:03.510264
0,Bob McDonnell,"Northern Virginia is the most ""heavily trafficked place in the country.""",true,Driving headache,2012-12-20,2019-04-23 16:47:03.511837
0,Jim Moran,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.",true,Lean times,2012-12-17,2019-04-23 16:47:03.513492
0,Bob Goodlatte,"""The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.""",half-true,Kernels of truth,2012-12-10,2019-04-23 16:47:03.515225
0,Tim Kaine,"Bill Clinton presided over ""the biggest expansion of the American economy since World War II.""",mostly-true,Not a record by all counts,2012-10-29,2019-04-23 16:47:03.516848
0,Tim Kaine,"""As governor, I cut $5 billion in spending.""",mostly-true,Includes cuts after he left office,2012-10-24,2019-04-23 16:47:03.518581
0,Paul Hirschbiel,"""Virginia papers called (Scott) Rigell’s campaign ‘Mostly False.’""",pants-fire,"We pass judgments on statements, not campaigns",2012-10-22,2019-04-23 16:47:03.520208
0,George Allen,"""The poverty rate amongst women is the worst it’s been in 17 years and the extreme poverty rate is the worst it’s ever been.""",true,Tough times for many,2012-10-22,2019-04-23 16:47:03.521820
0,Tim Kaine,"""The tax burden on Virginia families was lower under Tim Kaine than under George Allen.""",barely-true,Superficial claim,2012-10-15,2019-04-23 16:47:03.523442
0,George Allen,"""Repealing and replacing Obamacare – that’s going to save $1 trillion over a 10-year period.""",false,Not supported by evidence,2012-10-11,2019-04-23 16:47:03.525047
0,Wayne Powell,"Eric Cantor ""took $5 million from Sheldon Adelson,"" a Las Vegas casino owner.",barely-true,The money went to a super PAC Cantor backs,2012-10-08,2019-04-23 16:47:03.526791
0,Eric Cantor,On sequestration,full-flop,Seeking distance from a situation he helped create,2012-10-08,2019-04-23 16:47:03.528407
0,Wayne Powell,Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.,pants-fire,Huge distortion,2012-10-04,2019-04-23 16:47:03.530012
0,Tim Kaine,"George Allen ""voted to end Pell Grants for 84,000 students.""",mostly-true,"Even so, the program would have still grown",2012-10-01,2019-04-23 16:47:03.531630
0,George Allen,"""Tim Kaine announced he wants to raise taxes on everyone.""",false,Hyperbole,2012-09-24,2019-04-23 16:47:03.533233
0,George Allen,"""Tim Kaine doubled down in his support of devastating defense cuts, saying the ‘the deal was the right thing to do.’""",half-true,Lacking context,2012-09-20,2019-04-23 16:47:03.534847
0,Eric Cantor,"Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""",true,It's in black and white,2012-09-10,2019-04-23 16:47:03.536634
0,Bob McDonnell,"The GOP platform that seeks further limits on abortion and is silent on an exception for rape ""has been there for more than 30 years.""",true,Language largely unchanged for last seven conventions,2012-09-04,2019-04-23 16:47:03.693717
0,Crossroads GPS,"""When Tim Kaine was governor, spending soared, blowing holes in the budget every year.""",barely-true,Mixing apples and oranges,2012-08-31,2019-04-23 16:47:03.695658
0,Wayne Powell,"""This year, Eric Cantor has received more money from oil companies than any other member of Congress.""",false,Retracts statement,2012-08-27,2019-04-23 16:47:03.697277
0,George Allen,The state government workforce grew when Tim Kaine was governor.,barely-true,Cherry-picked figures,2012-08-27,2019-04-23 16:47:03.698896
0,U.S. Chamber of Commerce,"Tim Kaine supported ""higher energy costs for families.""",barely-true,Dim evidence,2012-08-21,2019-04-23 16:47:03.700487
0,Bob McDonnell,"The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""",false,Evidence points to opposite conclusion,2012-08-13,2019-04-23 16:47:03.702384
0,George Allen,"""When I left the Senate, we were on a trajectory towards a balanced budget.""",half-true,Omits impact of extending Bush tax cuts,2012-08-07,2019-04-23 16:47:03.704034
0,George Allen,"Tim Kaine, as governor, proposed tax increases on people earning ""as little as $17,000.""",true,In Kaine's last budget,2012-08-03,2019-04-23 16:47:03.705657
0,Tim Kaine,Says former Sen. George Allen voted four times to raise his own pay.,mostly-true,Three specific votes,2012-07-29,2019-04-23 16:47:03.707298
0,Tim Kaine,"""I ended up my time as governor with a general fund budget that was smaller than the one I started with.""",true,The recession required cuts,2012-07-27,2019-04-23 16:47:03.708864
0,Eric Cantor,"Because of the health care act, ""The people who have health care and like it in this county are not going to be able to keep what they have.""",barely-true,Lots of exaggeration,2012-07-16,2019-04-23 16:47:03.710434
0,Bob McDonnell,"States still face a ""mandate"" to expand Medicaid coverage under President Obama's health care reform law.",pants-fire,Gov. misstated ruling for more than a day ,2012-07-06,2019-04-23 16:47:03.712006
0,Majority PAC,"Tim Kaine ""made Virginia the best state for business four years in a row.""",barely-true,Pro-business traditions predate Kaine ,2012-07-02,2019-04-23 16:47:03.713575
0,George Allen,"President Obama's health care law is ""a government takeover of healthcare.""",false,A falsehood that won't die,2012-07-01,2019-04-23 16:47:03.715220
0,Gerry Connolly,"Ronald Reagan ""raised taxes in 1982, 1984, 1985, 1986 and 1987.""",true,Reagan cut tax deals with Congress,2012-06-25,2019-04-23 16:47:03.716826
0,American Crossroads,"""As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first"" by serving as DNC chairman during the last year of his governorship.",half-true,All states saw rising unemployment in 2009,2012-06-22,2019-04-23 16:47:03.718545
0,American Crossroads,"Tim Kaine urged ""$500 billion in Medicare cuts.""",false,Recycled rubbish,2012-06-20,2019-04-23 16:47:03.720178
0,George Allen,"""Before I was governor, tuition was skyrocketing and we stopped that. We capped and then we froze college tuition.""",true,Thanks to a good economy,2012-06-18,2019-04-23 16:47:03.721792
0,Tim Kaine,"Virginia women earn ""only 79 cents to each dollar earned by men...""",mostly-true,Many ways to look at pay gap ,2012-06-15,2019-04-23 16:47:03.723585
0,Bob McDonnell,"Virginia ""is home to more veterans per capita than any state in America.""",false,Virginia ranks third,2012-06-11,2019-04-23 16:47:03.725198
0,E.W. Jackson,"""In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth.""",true,"Plan works, but some better off with Social Security",2012-06-08,2019-04-23 16:47:03.896775
0,Bob Marshall,"Homosexual behavior ""cuts your life by about 20 years.""",false,"""Gross misrepresentation"" of research",2012-06-07,2019-04-23 16:47:03.898592
0,Jim Webb,"President Obama budget request for veterans is ""more than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.""",true,Bipartisan effort has helped veterans,2012-06-04,2019-04-23 16:47:03.900218
0,Jim Moran,"""According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.""",mostly-true, Guns used in crimes but not necessarily drug trafficking,2012-05-29,2019-04-23 16:47:03.901831
0,Corey Stewart,"Prince William County ""has cut violent crime in half"" since instituting a crackdown on illegal immigration.",barely-true,FBI and State Police stats tell different story,2012-05-25,2019-04-23 16:47:03.903688
0,Tim Kaine,"George Allen and his colleagues in the Senate ""turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.""",half-true,Updated with new ruling to reflect GDP,2012-05-15,2019-04-23 16:47:03.905311
0,Tim Kaine,"Says when he was governor, ""we expanded participation in Virginia in early childhood programs by nearly 40 percent.""",true,No doubt,2012-05-11,2019-04-23 16:47:03.906944
0,Jamie Radtke,"If Congress froze the current spending level and then cut it by 2 percent annually, ""we could balance the budget in five years.""",mostly-true,Doesn't factor growth of entitlements,2012-05-10,2019-04-23 16:47:03.908527
0,Bob McDonnell,"The U.S. economy is ""recovering slower than Europe """,false,Abroad error,2012-05-07,2019-04-23 16:47:03.910102
0,Frank Wolf,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.""",true,But a rosier scenario also exists,2012-04-23,2019-04-23 16:47:03.911679
0,Jamie Radtke,"George Allen ""voted for 40,000 earmarks.""",mostly-true,Spending bills were loaded with pork,2012-04-18,2019-04-23 16:47:03.913251
0,Bob McDonnell,"Says a bill requiring ultrasounds before abortions ""was supported by Republicans and Democrats.""",half-true,Only three of 52 Dems backed bill ,2012-04-13,2019-04-23 16:47:03.914826
0,Barack Obama,"""Under President Obama, domestic oil production is at an eight-year high.""",mostly-true,"Production up, but not on federal land last year ",2012-04-09,2019-04-23 16:47:03.916465
0,Morgan Griffith,"""On most things except witch trials, Virginia will always have been first.""",false,Virginia was first by a spell,2012-04-09,2019-04-23 16:47:03.918092
0,Scott Lingamfelter,"Tim Kaine ""reduced higher education funding by 25 percent when he was governor, driving up tuition...""",mostly-true,"Cuts had bipartisan support, until now",2012-04-04,2019-04-23 16:47:03.919747
0,Robert Hurt,"The CBO says the cost of health care reform will rise to $1.8 trillion, ""increasing the price to far greater than the $900 billion"" originally projected.",barely-true,Skewed comparison of numbers ,2012-03-26,2019-04-23 16:47:03.921370
0,Jim Moran,"""And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years.""",barely-true,Omits lucrative royalties,2012-03-23,2019-04-23 16:47:03.923175
0,Bob McDonnell,"""This bill allows Virginia to join about 23 other states that have an ultrasound procedure"" before an abortion.",mostly-true,But only nine states mandate women get them,2012-03-21,2019-04-23 16:47:03.924812
0,Frank Wolf,"""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.""",true,No doubt about it,2012-03-16,2019-04-23 16:47:03.926428
0,Bob McDonnell,"""Seven out of the 10 states with the lowest unemployment rates (have) Republican governors … That approach that Republicans are using is working.""",half-true,Flimsy statistic,2012-03-12,2019-04-23 16:47:03.928045
0,George Allen,"Says he ""cut taxes by more than $600 million"" when he was governor.",true,Right on the money,2012-03-09,2019-04-23 16:47:04.087213
0,Gerry Connolly,"Says Obama has ""doubled the stock market from where we started when he was sworn into office""",barely-true,Dates are crucial,2012-03-08,2019-04-23 16:47:04.089534
0,Bob McDonnell,"President Obama's ""budget would call for about $25 trillion in debt by the end of his term, if he was re-elected.""",barely-true,An exaggerated claim,2012-03-05,2019-04-23 16:47:04.091230
0,Eric Cantor,"President Obama pushed through the stimulus ""based on the promise of keeping unemployment under 8 percent.""",barely-true,"A projection, not a promise",2012-03-02,2019-04-23 16:47:04.092855
0,Janet Howell,"""It’s going to be harder to vote in Virginia than it is now to buy a gun...""",half-true,"Some truth in a ""rhetorical slur""",2012-02-27,2019-04-23 16:47:04.094478
0,Bob McDonnell,On mandatory ultrasounds before abortions.,no-flip,Never endorsed use of invasive ultrasounds,2012-02-24,2019-04-23 16:47:04.096095
0,U.S. Chamber of Commerce,"""As Virginia’s governor, Allen cut spending and waste with bipartisan support.""",half-true,"Overall spending went up, but some programs were cut",2012-02-23,2019-04-23 16:47:04.097713
0,George Allen,The cost of a gas tank fill-up has risen $30 since Barack Obama became president.,mostly-true,Presidents don't control gas prices,2012-02-20,2019-04-23 16:47:04.099341
0,Martin O'Malley,"Maryland is ""creating jobs at 2 ½ times the rate that Virginia is.""",false,Most stats put the states neck and neck,2012-02-13,2019-04-23 16:47:04.100961
0,Bob Marshall,"""You're supposed to throw away your shoes"" if mercury from a broken CFL light bulb gets on them.",false,A wet wipe will suffice ,2012-02-13,2019-04-23 16:47:04.102580
0,George Barker,Says Gov. Bob McDonnell's budget would cut pre-kindergarten programs.,barely-true,Pre-K spending would go up,2012-02-09,2019-04-23 16:47:04.104190
0,Kitty Boitnott,"Public education has been permanently cut ""by $1.6 billion through changes in the Standards of Quality funding formula.""",mostly-true,Number slightly off,2012-02-07,2019-04-23 16:47:04.105764
0,Randy Forbes,"""The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.""",true,The numbers add up,2012-02-03,2019-04-23 16:47:04.107346
0,David Englin,"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",false,A faulty deduction,2012-02-01,2019-04-23 16:47:04.108917
0,James Stegmaier,"""Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.""",true,Who would have guessed?,2012-01-29,2019-04-23 16:47:04.110922
0,Jim Moran,"""The U.S. gun homicide rate is 20 times the combined rate of other western nations.""",mostly-true,"Numbers are outdated, but close ",2012-01-27,2019-04-23 16:47:04.112543
0,Donald McEachin,"Gov. McDonnell's proposed budget ""is cutting"" public education.",false,School funding goes up; so does teachers' pension cost,2012-01-26,2019-04-23 16:47:04.114156
0,Ken Cuccinelli,Says the D.C. city council passed a law banning lethal rat trapping.,pants-fire,No reprieve for common rats,2012-01-23,2019-04-23 16:47:04.115760
0,Bob McDonnell,"Says proposal to boost teacher pension fund ""puts no mandate on local government.""",false,If it sounds like a duck...,2012-01-20,2019-04-23 16:47:04.117372
0,Donald McEachin,"Gov. Bob McDonnell’s budget plan takes ""money out of our classrooms to pave roads.""",true,A tiny loss of school funding ,2012-01-15,2019-04-23 16:47:04.119006
0,Bob McDonnell,"Says he’s proposed ""the largest employer contribution to the Virginia Retirement System in history.""",true,"A record setter, indeed",2012-01-06,2019-04-23 16:47:04.289525
0,Eric Cantor,"Small businesses ""create 70 percent of the jobs in America.""",true,A valid estimate ,2011-12-30,2019-04-23 16:47:04.291360
0,George Allen,"""I was one of about a dozen (senators) who voted against the Bridge to Nowhere.""",true,"Actually, he was one of 15",2011-12-27,2019-04-23 16:47:04.292979
0,Tim Kaine,"George Allen cast ""the deciding vote"" for the 2003 Bush tax cuts.",false,"Under Kaine logic, 51 people cast ""the deciding vote."" ",2011-12-17,2019-04-23 16:47:04.294778
0,George Allen,"""Our federal government has lent $2 billion to the state-owned oil company of Brazil to allow them to explore for oil and gas.""",false,Flat out wrong,2011-12-12,2019-04-23 16:47:04.296393
0,Tim Kaine,"The national debt increased $16,000 every second George Allen served in the U.S. Senate.",true,Reasonable estimate,2011-12-08,2019-04-23 16:47:04.298039
0,George Allen,"The United States ""is number one in the world in energy resources; Russia is number two.""",true,Coal makes U.S. king,2011-12-08,2019-04-23 16:47:04.299613
0,Eric Cantor,"The U.S. economy ""is three times as big as China's.""",mostly-true,Another measure shows a smaller gap,2011-12-05,2019-04-23 16:47:04.301174
0,Mark Warner,The U.S. would gain revenue by cutting personal income tax rates in half and ending tax breaks.,true,Warner adds by deducting,2011-11-25,2019-04-23 16:47:04.302745
0,Crossroads GPS,"""(Stimulus money) went to critically important projects like studying ants in Africa.""",true,"Specifically, it's the Big-Headed Ant",2011-11-21,2019-04-23 16:47:04.304310
0,Crossroads GPS,"Stimulus money went to ""office upgrades for politicians.""",barely-true,Number's wrong and plan's misrepresented,2011-11-19,2019-04-23 16:47:04.305882
0,Tim Kaine,"George Allen's flat tax ""plan would actually shrink revenues further than the Perry (flat tax) plan.""",false,Allen has no flat tax plan,2011-11-14,2019-04-23 16:47:04.307446
0,Jim Webb,"""Ronald Reagan raised the national debt 18 times.""",true,Although some say it was 17 times,2011-11-12,2019-04-23 16:47:04.308987
0,Corey Stewart,On George Allen's U.S. senate candidacy.,full-flop,Says he was too hard on Allen,2011-11-03,2019-04-23 16:47:04.310523
0,Randy Forbes,"""1.53 million jobs are at risk (from potential defense cuts).""",mostly-true,"A credible, but high-side estimate",2011-10-29,2019-04-23 16:47:04.312050
0,National Republican Senatorial Committee,"The stimulus created ""zero jobs.""",pants-fire,Zero credibility in worn-out claim,2011-10-21,2019-04-23 16:47:04.313573
